restaurant_id,restaurant_name,cuisine_type,district,weighted_public_rating,total_public_reviews,price_level_1_4,annual_demand_proxy_score_0_100,popularity_class,source
R106,Indus Modern Indian Kitchen,Indian,BGC,4.3,315,,78.0,Medium,Google Places (public)
R107,Em Ha Noi,Vietnamese,BGC,4.0,367,,75.1,Medium,Google Places (public)
R108,Ha Noi Pho,Vietnamese,Makati,4.4,448,,80.8,Medium,Google Places (public)
R109,Pho Hoa MyThai Venice,Vietnamese,Taguig,3.8,217,,70.3,Low,Google Places (public)
R110,Pho Hoa My Thai Stopover,Vietnamese,BGC,4.0,160,,71.3,Medium,Google Places (public)
R111,The Red Crab Uptown,Seafood,BGC,4.2,278,,76.2,Medium,Google Places (public)
R112,CargoFish,Seafood,BGC,4.8,3470,,94.9,High,Google Places (public)
R113,The Pearl Room Poblacion,Seafood,Makati,4.9,125,,81.0,High,Google Places (public)
R114,The Pearl Room BGC,Seafood,BGC,4.3,300,,77.7,Medium,Google Places (public)
R115,Chotto Matcha Forbestown,Cafe,BGC,4.6,393,,82.6,High,Google Places (public)
R116,Aivee Cafe,Cafe,BGC,3.9,19,,60.5,Low,Google Places (public)
R117,Aperitif Forbestown,Cafe,BGC,4.5,285,,79.9,High,Google Places (public)
R118,Eesome,Cafe,BGC,4.3,161,,74.9,Medium,Google Places (public)
R119,Red Manila BGC,Fusion,BGC,4.8,65,,76.8,Medium,Google Places (public)
R120,St. Louis Cafe BGC,Cafe,BGC,4.6,638,2,84.8,High,Google Places (public)
R121,Larry's Cafe and Bar,Cafe,BGC,4.3,184,,75.5,Medium,Google Places (public)
R122,Bueno Tapas & Wine,Spanish,BGC,4.8,648,,87.3,High,Google Places (public)
R123,Conti's Bakeshop Venice,Filipino,Taguig,4.5,45,,71.5,Medium,Google Places (public)
R124,Botejyu Venice,Japanese,Taguig,4.6,611,,84.6,High,Google Places (public)
R125,Mama Lou's Venice,Italian,Taguig,4.7,658,2,86.1,High,Google Places (public)
R126,CIBO Venice,Italian,Taguig,4.8,552,,86.5,High,Google Places (public)
R127,Maker and Made BGC,Cafe,BGC,4.5,533,,82.8,High,Google Places (public)
